"","Fiscal.Year","Pricing.Mechanism.sum","SubCustomer.component","USDATL","Obligation.2014"
"71",2009-09-30,"Combination","Air Force","YOUNG",1.42447102091362
"72",2009-09-30,"Combination","Air Force","CARTER",0.4232256962979
"73",2009-09-30,"Combination","DLA","YOUNG",0.0469849752543841
"74",2009-09-30,"Combination","DLA","CARTER",0.0614354470664646
"75",2009-09-30,"Combination","MDA","YOUNG",0.372775181370427
"76",2009-09-30,"Combination","Military
Health","YOUNG",3.16302229919896e-06
"77",2009-09-30,"Combination","Additional
DoD
Components","YOUNG",1.40478351164754
"78",2009-09-30,"Combination","Additional
DoD
Components","CARTER",0.716957555618099
"79",2009-09-30,"Cost+","Army","YOUNG",11.9176768086166
"80",2009-09-30,"Cost+","Army","CARTER",2.79552801583676
"81",2009-09-30,"Cost+","Navy","YOUNG",15.0061972049361
"82",2009-09-30,"Cost+","Navy","CARTER",3.55736644132929
"83",2009-09-30,"Cost+","Air Force","YOUNG",12.084559152165
"84",2009-09-30,"Cost+","Air Force","CARTER",2.99948286077073
"85",2009-09-30,"Cost+","DLA","YOUNG",0.0191017969473912
"86",2009-09-30,"Cost+","DLA","CARTER",0.0293817952803637
"87",2009-09-30,"Cost+","MDA","YOUNG",1.55534719432778
"88",2009-09-30,"Cost+","MDA","CARTER",0.0613590571552284
"89",2009-09-30,"Cost+","Additional
DoD
Components","YOUNG",1.44453723991124
"90",2009-09-30,"Cost+","Additional
DoD
Components","CARTER",0.929030292704049
"91",2009-09-30,"Fixed","Army","YOUNG",50.0210076621888
"92",2009-09-30,"Fixed","Army","CARTER",45.6894668883741
"93",2009-09-30,"Fixed","Navy","YOUNG",18.818952123609
"94",2009-09-30,"Fixed","Navy","CARTER",16.0813612590712
"95",2009-09-30,"Fixed","Air Force","YOUNG",16.3739383391538
"96",2009-09-30,"Fixed","Air Force","CARTER",12.2329807349318
"97",2009-09-30,"Fixed","DLA","YOUNG",22.6449563949773
"98",2009-09-30,"Fixed","DLA","CARTER",16.5781721235765
"99",2009-09-30,"Fixed","MDA","YOUNG",0.0670136780255467
"100",2009-09-30,"Fixed","MDA","CARTER",0.0085874427256982
"101",2009-09-30,"Fixed","Military
Health","YOUNG",1.55668474211951
"102",2009-09-30,"Fixed","Military
Health","CARTER",0.0325584904849535
"103",2009-09-30,"Fixed","Additional
DoD
Components","YOUNG",5.73699565312838
"104",2009-09-30,"Fixed","Additional
DoD
Components","CARTER",3.2007215349751
"105",2009-09-30,"Other","Army","YOUNG",0
"106",2009-09-30,"Other","Navy","YOUNG",-9.01358843905607e-05
"107",2009-09-30,"Time/Mat.","Army","YOUNG",5.7294920404633
"108",2009-09-30,"Time/Mat.","Army","CARTER",1.35392810046547
"109",2009-09-30,"Time/Mat.","Navy","YOUNG",0.503876983253951
"110",2009-09-30,"Time/Mat.","Navy","CARTER",0.395525085321498
"111",2009-09-30,"Time/Mat.","Air Force","YOUNG",2.54503437169301
"112",2009-09-30,"Time/Mat.","Air Force","CARTER",0.714003796254601
"113",2009-09-30,"Time/Mat.","DLA","YOUNG",0.560774768326478
"114",2009-09-30,"Time/Mat.","DLA","CARTER",0.344325104394891
"115",2009-09-30,"Time/Mat.","MDA","YOUNG",0.0976825857328426
"116",2009-09-30,"Time/Mat.","Military
Health","YOUNG",0.00273799469582161
"117",2009-09-30,"Time/Mat.","Military
Health","CARTER",3.06386663780039e-05
"118",2009-09-30,"Time/Mat.","Additional
DoD
Components","YOUNG",0.569764209428448
"119",2009-09-30,"Time/Mat.","Additional
DoD
Components","CARTER",0.335875777592552
"120",2009-09-30,"Unlabeled","Army","YOUNG",-0.121970763682615
"121",2009-09-30,"Unlabeled","Army","CARTER",-0.0908121079454427
"122",2009-09-30,"Unlabeled","Navy","YOUNG",0.880709875308508
"123",2009-09-30,"Unlabeled","Navy","CARTER",0.0734316305585625
"124",2009-09-30,"Unlabeled","Air Force","YOUNG",0.00713962712708379
"125",2009-09-30,"Unlabeled","Air Force","CARTER",-0.0267097325611604
"126",2009-09-30,"Unlabeled","DLA","YOUNG",0.00563146596665945
"127",2009-09-30,"Unlabeled","DLA","CARTER",0.000142466648625244
"128",2009-09-30,"Unlabeled","MDA","YOUNG",0
"129",2009-09-30,"Unlabeled","Additional
DoD
Components","YOUNG",0.00191825316085733
"130",2009-09-30,"Unlabeled","Additional
DoD
Components","CARTER",-0.000623426142022083
"131",2010-09-30,"Combination","Army","YOUNG",1.72261458100128
"132",2010-09-30,"Combination","Army","CARTER",1.63160998196406
"133",2010-09-30,"Combination","Navy","YOUNG",1.19495331239837
"134",2010-09-30,"Combination","Navy","CARTER",1.15921220654686
"135",2010-09-30,"Combination","Air Force","YOUNG",0.180182446095422
"136",2010-09-30,"Combination","Air Force","CARTER",0.139326086210954
"137",2010-09-30,"Combination","DLA","YOUNG",0.000237372817715019
"138",2010-09-30,"Combination","DLA","CARTER",0.00295487450791613
"139",2010-09-30,"Combination","MDA","YOUNG",3.10081728712024e-05
"140",2010-09-30,"Combination","Military
Health","YOUNG",0
"141",2010-09-30,"Combination","Military
Health","CARTER",0
"142",2010-09-30,"Combination","Additional
DoD
Components","YOUNG",0.168086954503637
"143",2010-09-30,"Combination","Additional
DoD
Components","CARTER",0.0662551655327343
"144",2010-09-30,"Cost+","Army","YOUNG",7.71143215139067
"145",2010-09-30,"Cost+","Army","CARTER",13.953439489923
"146",2010-09-30,"Cost+","Navy","YOUNG",9.79556701093282
"147",2010-09-30,"Cost+","Navy","CARTER",15.7528744707317
"148",2010-09-30,"Cost+","Air Force","YOUNG",6.68919260360505
"149",2010-09-30,"Cost+","Air Force","CARTER",9.91327927853017
"150",2010-09-30,"Cost+","DLA","YOUNG",0.00178607173727
"151",2010-09-30,"Cost+","DLA","CARTER",0.0523181980744544
"152",2010-09-30,"Cost+","MDA","YOUNG",1.78024136422764
"153",2010-09-30,"Cost+","MDA","CARTER",1.00845468907788
"154",2010-09-30,"Cost+","Military
Health","YOUNG",0
"155",2010-09-30,"Cost+","Military
Health","CARTER",0.0589105295250321
"156",2010-09-30,"Cost+","Additional
DoD
Components","YOUNG",0.537839967137356
"157",2010-09-30,"Cost+","Additional
DoD
Components","CARTER",3.06284380349807
"158",2010-09-30,"Fixed","Army","YOUNG",13.9304508979782
"159",2010-09-30,"Fixed","Army","CARTER",85.8806882690525
"160",2010-09-30,"Fixed","Navy","YOUNG",9.49491909089516
"161",2010-09-30,"Fixed","Navy","CARTER",35.0806611000097
"162",2010-09-30,"Fixed","Air Force","YOUNG",6.10499938988019
"163",2010-09-30,"Fixed","Air Force","CARTER",25.525264008344
"164",2010-09-30,"Fixed","DLA","YOUNG",1.12561180347668
"165",2010-09-30,"Fixed","DLA","CARTER",35.077461314923
"166",2010-09-30,"Fixed","MDA","YOUNG",0.0686605011874198
"167",2010-09-30,"Fixed","MDA","CARTER",0.0594722267971759
"168",2010-09-30,"Fixed","Military
Health","YOUNG",1.64483491217373
"169",2010-09-30,"Fixed","Military
Health","CARTER",0.541609525941378
"170",2010-09-30,"Fixed","Additional
DoD
Components","YOUNG",1.13093747724647
"171",2010-09-30,"Fixed","Additional
DoD
Components","CARTER",10.7714139151369
"172",2010-09-30,"Other","Army","YOUNG",0.00094191270860077
"173",2010-09-30,"Other","Navy","YOUNG",7.17444266153188e-05
"174",2010-09-30,"Other","Navy","CARTER",0
"175",2010-09-30,"Time/Mat.","Army","YOUNG",3.19292612991014
"176",2010-09-30,"Time/Mat.","Army","CARTER",4.85933008669234
"177",2010-09-30,"Time/Mat.","Navy","YOUNG",0.126863787655113
"178",2010-09-30,"Time/Mat.","Navy","CARTER",0.79951138245614
"179",2010-09-30,"Time/Mat.","Air Force","YOUNG",1.48729220256739
"180",2010-09-30,"Time/Mat.","Air Force","CARTER",1.58528461337184
"181",2010-09-30,"Time/Mat.","DLA","YOUNG",0.0320274846705178
"182",2010-09-30,"Time/Mat.","DLA","CARTER",0.610948381964057
"183",2010-09-30,"Time/Mat.","MDA","YOUNG",0.127741282113821
"184",2010-09-30,"Time/Mat.","MDA","CARTER",0.0189496266581087
"185",2010-09-30,"Time/Mat.","Military
Health","YOUNG",0.00259466315789474
"186",2010-09-30,"Time/Mat.","Additional
DoD
Components","YOUNG",0.388134004792469
"187",2010-09-30,"Time/Mat.","Additional
DoD
Components","CARTER",0.908177103401797
"188",2010-09-30,"Unlabeled","Army","YOUNG",0.115345820421481
"189",2010-09-30,"Unlabeled","Army","CARTER",0.021689612173727
"190",2010-09-30,"Unlabeled","Navy","YOUNG",0.00978279027599487
"191",2010-09-30,"Unlabeled","Navy","CARTER",0.0103867524176294
"192",2010-09-30,"Unlabeled","Air Force","YOUNG",0.00616954525032092
"193",2010-09-30,"Unlabeled","Air Force","CARTER",0.000256676444159178
"194",2010-09-30,"Unlabeled","DLA","YOUNG",0
"195",2010-09-30,"Unlabeled","DLA","CARTER",0
"196",2010-09-30,"Unlabeled","MDA","CARTER",0
"197",2010-09-30,"Unlabeled","Additional
DoD
Components","YOUNG",0.0126813956996149
"198",2010-09-30,"Unlabeled","Additional
DoD
Components","CARTER",0.00378979715447155
"199",2011-09-30,"Combination","Army","YOUNG",1.30392948253252
"200",2011-09-30,"Combination","Army","CARTER",0.864190604804868
"201",2011-09-30,"Combination","Navy","YOUNG",5.44689833561687
"202",2011-09-30,"Combination","Navy","CARTER",0.673519279343265
"203",2011-09-30,"Combination","Air Force","YOUNG",0.332254770562316
"204",2011-09-30,"Combination","Air Force","CARTER",0.103589603063365
"205",2011-09-30,"Combination","DLA","YOUNG",0.00293947298573227
"206",2011-09-30,"Combination","MDA","YOUNG",0
"207",2011-09-30,"Combination","Additional
DoD
Components","YOUNG",0.252096802287033
"208",2011-09-30,"Combination","Additional
DoD
Components","CARTER",0.392183340579102
"209",2011-09-30,"Cost+","Army","YOUNG",4.1660738848825
"210",2011-09-30,"Cost+","Army","CARTER",12.4094988078787
"211",2011-09-30,"Cost+","Army","KENDALL",9.2921666446496
"212",2011-09-30,"Cost+","Navy","YOUNG",11.023378055235
"213",2011-09-30,"Cost+","Navy","CARTER",10.8457640874003
"214",2011-09-30,"Cost+","Navy","KENDALL",9.59582571780319
"215",2011-09-30,"Cost+","Air Force","YOUNG",4.96495062673101
"216",2011-09-30,"Cost+","Air Force","CARTER",6.75112643067562
"217",2011-09-30,"Cost+","Air Force","KENDALL",7.01506250461603
"218",2011-09-30,"Cost+","DLA","YOUNG",0.00192844958036089
"219",2011-09-30,"Cost+","DLA","CARTER",0.0313668744544692
"220",2011-09-30,"Cost+","DLA","KENDALL",0.0952549511120436
"221",2011-09-30,"Cost+","MDA","YOUNG",0.926555826164498
"222",2011-09-30,"Cost+","MDA","CARTER",1.30420356181284
"223",2011-09-30,"Cost+","MDA","KENDALL",0.82558431716324
"224",2011-09-30,"Cost+","Military
Health","CARTER",1.20624830643097
"225",2011-09-30,"Cost+","Military
Health","KENDALL",0.0162181871590432
"226",2011-09-30,"Cost+","Additional
DoD
Components","YOUNG",0.312844886445657
"227",2011-09-30,"Cost+","Additional
DoD
Components","CARTER",1.76980585029375
"228",2011-09-30,"Cost+","Additional
DoD
Components","KENDALL",2.78965397562946
"229",2011-09-30,"Fixed","Army","YOUNG",10.2450943856798
"230",2011-09-30,"Fixed","Army","CARTER",16.0156590090327
"231",2011-09-30,"Fixed","Army","KENDALL",61.0423931227549
"232",2011-09-30,"Fixed","Navy","YOUNG",7.0888084650021
"233",2011-09-30,"Fixed","Navy","CARTER",9.75077898505036
"234",2011-09-30,"Fixed","Navy","KENDALL",34.7804361352392
"235",2011-09-30,"Fixed","Air Force","YOUNG",2.09008325312631
"236",2011-09-30,"Fixed","Air Force","CARTER",8.38287851920898
"237",2011-09-30,"Fixed","Air Force","KENDALL",22.0667801436634
"238",2011-09-30,"Fixed","DLA","YOUNG",0.594997190621066
"239",2011-09-30,"Fixed","DLA","CARTER",3.75456057880822
"240",2011-09-30,"Fixed","DLA","KENDALL",32.3860319617709
"241",2011-09-30,"Fixed","MDA","YOUNG",0.0359704013113722
"242",2011-09-30,"Fixed","MDA","CARTER",0.0250984134704154
"243",2011-09-30,"Fixed","MDA","KENDALL",0.072597054699958
"244",2011-09-30,"Fixed","Military
Health","YOUNG",1.87313808129459
"245",2011-09-30,"Fixed","Military
Health","CARTER",0.258166363680235
"246",2011-09-30,"Fixed","Military
Health","KENDALL",0.323839174958036
"247",2011-09-30,"Fixed","Additional
DoD
Components","YOUNG",0.75725779012799
"248",2011-09-30,"Fixed","Additional
DoD
Components","CARTER",2.52214226144566
"249",2011-09-30,"Fixed","Additional
DoD
Components","KENDALL",11.4121303299885
"250",2011-09-30,"Other","Army","YOUNG",0
"251",2011-09-30,"Other","Navy","YOUNG",0.00044964171212757
"252",2011-09-30,"Other","DLA","YOUNG",0
"253",2011-09-30,"Time/Mat.","Army","YOUNG",1.01890462972094
"254",2011-09-30,"Time/Mat.","Army","CARTER",2.78723651425724
"255",2011-09-30,"Time/Mat.","Army","KENDALL",2.45831344980067
"256",2011-09-30,"Time/Mat.","Navy","YOUNG",0.0338938297524129
"257",2011-09-30,"Time/Mat.","Navy","CARTER",0.285785855874948
"258",2011-09-30,"Time/Mat.","Navy","KENDALL",0.341184241670164
"259",2011-09-30,"Time/Mat.","Air Force","YOUNG",0.906503615044062
"260",2011-09-30,"Time/Mat.","Air Force","CARTER",0.526107832910197
"261",2011-09-30,"Time/Mat.","Air Force","KENDALL",0.756114829668485
"262",2011-09-30,"Time/Mat.","DLA","YOUNG",0.00902587204154427
"263",2011-09-30,"Time/Mat.","DLA","CARTER",0.108329935438523
"264",2011-09-30,"Time/Mat.","DLA","KENDALL",0.402573690285355
"265",2011-09-30,"Time/Mat.","MDA","YOUNG",0.107733770006295
"266",2011-09-30,"Time/Mat.","MDA","CARTER",0.0147553014477549
"267",2011-09-30,"Time/Mat.","Military
Health","YOUNG",0.00248266940830885
"268",2011-09-30,"Time/Mat.","Additional
DoD
Components","YOUNG",0.161410118736886
"269",2011-09-30,"Time/Mat.","Additional
DoD
Components","CARTER",0.422818470971464
"270",2011-09-30,"Time/Mat.","Additional
DoD
Components","KENDALL",0.315676624045321
"271",2011-09-30,"Unlabeled","Army","YOUNG",0
"272",2011-09-30,"Unlabeled","Army","CARTER",0
"273",2011-09-30,"Unlabeled","Army","KENDALL",-1.86980696600923e-07
"274",2011-09-30,"Unlabeled","Navy","YOUNG",0
"275",2011-09-30,"Unlabeled","Navy","CARTER",0
"276",2011-09-30,"Unlabeled","Navy","KENDALL",-1.31640788921527e-05
"277",2011-09-30,"Unlabeled","Air Force","YOUNG",0
"278",2011-09-30,"Unlabeled","Air Force","CARTER",0
"279",2011-09-30,"Unlabeled","Air Force","KENDALL",0
"280",2011-09-30,"Unlabeled","DLA","YOUNG",0
"281",2011-09-30,"Unlabeled","DLA","CARTER",0
"282",2011-09-30,"Unlabeled","DLA","KENDALL",0
"283",2011-09-30,"Unlabeled","MDA","CARTER",0
"284",2011-09-30,"Unlabeled","MDA","KENDALL",0
"285",2011-09-30,"Unlabeled","Military
Health","KENDALL",0
"286",2011-09-30,"Unlabeled","Additional
DoD
Components","YOUNG",0
"287",2011-09-30,"Unlabeled","Additional
DoD
Components","CARTER",0
"288",2011-09-30,"Unlabeled","Additional
DoD
Components","KENDALL",-8.55112043642467e-05
"289",2012-09-30,"Combination","Army","YOUNG",0.844619462063639
"290",2012-09-30,"Combination","Army","CARTER",0.905950874050046
"291",2012-09-30,"Combination","Navy","YOUNG",4.74038779565441
"292",2012-09-30,"Combination","Navy","CARTER",0.319617499093811
"293",2012-09-30,"Combination","Air Force","YOUNG",0.269414547945629
"294",2012-09-30,"Combination","Air Force","CARTER",0.0929005103902791
"295",2012-09-30,"Combination","Military
Health","YOUNG",0.00271165173514571
"296",2012-09-30,"Combination","Additional
DoD
Components","YOUNG",0.203000868098033
"297",2012-09-30,"Combination","Additional
DoD
Components","CARTER",0.305748779198847
"298",2012-09-30,"Cost+","Army","YOUNG",1.87392709177222
"299",2012-09-30,"Cost+","Army","CARTER",7.02605578732365
"300",2012-09-30,"Cost+","Army","KENDALL",15.3842951897745
"301",2012-09-30,"Cost+","Navy","YOUNG",6.79044777129029
"302",2012-09-30,"Cost+","Navy","CARTER",8.14320246425703
"303",2012-09-30,"Cost+","Navy","KENDALL",14.774096060555
"304",2012-09-30,"Cost+","Air Force","YOUNG",3.96384760459273
"305",2012-09-30,"Cost+","Air Force","CARTER",3.089895945917
"306",2012-09-30,"Cost+","Air Force","KENDALL",11.840509865709
"307",2012-09-30,"Cost+","DLA","YOUNG",4.6339202965709e-05
"308",2012-09-30,"Cost+","DLA","CARTER",0.0130123228400783
"309",2012-09-30,"Cost+","DLA","KENDALL",0.106040316342292
"310",2012-09-30,"Cost+","MDA","YOUNG",0.297606140088559
"311",2012-09-30,"Cost+","MDA","CARTER",1.05868914081969
"312",2012-09-30,"Cost+","MDA","KENDALL",2.30950275600865
"313",2012-09-30,"Cost+","Military
Health","YOUNG",0.00608435218824014
"314",2012-09-30,"Cost+","Military
Health","CARTER",3.04766761410771
"315",2012-09-30,"Cost+","Military
Health","KENDALL",1.48472630500463
"316",2012-09-30,"Cost+","Additional
DoD
Components","YOUNG",0.137007040243023
"317",2012-09-30,"Cost+","Additional
DoD
Components","CARTER",0.851601196097209
"318",2012-09-30,"Cost+","Additional
DoD
Components","KENDALL",3.68806416514262
"319",2012-09-30,"Fixed","Army","YOUNG",5.04155873683452
"320",2012-09-30,"Fixed","Army","CARTER",7.43555808904459
"321",2012-09-30,"Fixed","Army","KENDALL",64.0159675983524
"322",2012-09-30,"Fixed","Navy","YOUNG",6.53104736162084
"323",2012-09-30,"Fixed","Navy","CARTER",7.1861997845639
"324",2012-09-30,"Fixed","Navy","KENDALL",36.6259519622593
"325",2012-09-30,"Fixed","Air Force","YOUNG",1.20887479718876
"326",2012-09-30,"Fixed","Air Force","CARTER",4.62371196870559
"327",2012-09-30,"Fixed","Air Force","KENDALL",38.5007141666232
"328",2012-09-30,"Fixed","DLA","YOUNG",0.439513057594481
"329",2012-09-30,"Fixed","DLA","CARTER",0.677102856966327
"330",2012-09-30,"Fixed","DLA","KENDALL",42.6317163804961
"331",2012-09-30,"Fixed","MDA","YOUNG",0.0175630553084131
"332",2012-09-30,"Fixed","MDA","CARTER",0.00880675745031408
"333",2012-09-30,"Fixed","MDA","KENDALL",0.867180648975389
"334",2012-09-30,"Fixed","Military
Health","YOUNG",1.83490241464319
"335",2012-09-30,"Fixed","Military
Health","CARTER",0.00211559634435177
"336",2012-09-30,"Fixed","Military
Health","KENDALL",0.627070390629183
"337",2012-09-30,"Fixed","Additional
DoD
Components","YOUNG",0.51393288566574
"338",2012-09-30,"Fixed","Additional
DoD
Components","CARTER",1.27631055989033
"339",2012-09-30,"Fixed","Additional
DoD
Components","KENDALL",13.9501560654411
"340",2012-09-30,"Other","Army","YOUNG",-5.44092884357945e-05
"341",2012-09-30,"Other","Navy","YOUNG",0.000260348388425497
"342",2012-09-30,"Other","Navy","CARTER",0
"343",2012-09-30,"Other","DLA","YOUNG",0
"344",2012-09-30,"Time/Mat.","Army","YOUNG",0.242605332591906
"345",2012-09-30,"Time/Mat.","Army","CARTER",1.15794696732571
"346",2012-09-30,"Time/Mat.","Army","KENDALL",3.31147534528885
"347",2012-09-30,"Time/Mat.","Navy","YOUNG",0.0212285231593039
"348",2012-09-30,"Time/Mat.","Navy","CARTER",-0.00160129337864278
"349",2012-09-30,"Time/Mat.","Navy","KENDALL",0.296300743630934
"350",2012-09-30,"Time/Mat.","Air Force","YOUNG",0.308372528534651
"351",2012-09-30,"Time/Mat.","Air Force","CARTER",0.264732130377922
"352",2012-09-30,"Time/Mat.","Air Force","KENDALL",0.98116189845536
"353",2012-09-30,"Time/Mat.","DLA","YOUNG",0.00363671656883946
"354",2012-09-30,"Time/Mat.","DLA","CARTER",0.00962256786118834
"355",2012-09-30,"Time/Mat.","DLA","KENDALL",0.427888956636804
"356",2012-09-30,"Time/Mat.","MDA","YOUNG",0.0428490795283699
"357",2012-09-30,"Time/Mat.","MDA","CARTER",0.00445734727628463
"358",2012-09-30,"Time/Mat.","MDA","KENDALL",0.00140907836474102
"359",2012-09-30,"Time/Mat.","Military
Health","YOUNG",0.00253036449387293
"360",2012-09-30,"Time/Mat.","Military
Health","CARTER",2.05952013180929e-05
"361",2012-09-30,"Time/Mat.","Military
Health","KENDALL",0.0308822581711461
"362",2012-09-30,"Time/Mat.","Additional
DoD
Components","YOUNG",0.0988286099680774
"363",2012-09-30,"Time/Mat.","Additional
DoD
Components","CARTER",0.169538930099887
"364",2012-09-30,"Time/Mat.","Additional
DoD
Components","KENDALL",0.312572943322006
"365",2012-09-30,"Unlabeled","Army","YOUNG",0
"366",2012-09-30,"Unlabeled","Army","CARTER",0
"367",2012-09-30,"Unlabeled","Army","KENDALL",0
"368",2012-09-30,"Unlabeled","Navy","YOUNG",0
"369",2012-09-30,"Unlabeled","Navy","CARTER",0
"370",2012-09-30,"Unlabeled","Navy","KENDALL",5.44010915456699e-05
"371",2012-09-30,"Unlabeled","Air Force","YOUNG",0
"372",2012-09-30,"Unlabeled","Air Force","CARTER",0
"373",2012-09-30,"Unlabeled","Air Force","KENDALL",0
"374",2012-09-30,"Unlabeled","DLA","KENDALL",0
"375",2012-09-30,"Unlabeled","MDA","CARTER",0
"376",2012-09-30,"Unlabeled","MDA","KENDALL",0
"377",2012-09-30,"Unlabeled","Military
Health","KENDALL",0
"378",2012-09-30,"Unlabeled","Additional
DoD
Components","YOUNG",0
"379",2012-09-30,"Unlabeled","Additional
DoD
Components","CARTER",0
"380",2012-09-30,"Unlabeled","Additional
DoD
Components","KENDALL",-0.00029737781896818
"381",2013-09-30,"Combination","Army","YOUNG",0.646098080612471
"382",2013-09-30,"Combination","Army","CARTER",0.424908778364984
"383",2013-09-30,"Combination","Navy","YOUNG",3.36109684793267
"384",2013-09-30,"Combination","Navy","CARTER",0.225484218882502
"385",2013-09-30,"Combination","Navy","KENDALL",0
"386",2013-09-30,"Combination","Air Force","YOUNG",0.192853062713821
"387",2013-09-30,"Combination","Air Force","CARTER",0.071984380242612
"388",2013-09-30,"Combination","DLA","YOUNG",0.00118437338153752
"389",2013-09-30,"Combination","Military
Health","YOUNG",0
"390",2013-09-30,"Combination","Additional
DoD
Components","YOUNG",0.0616093600754545
"391",2013-09-30,"Combination","Additional
DoD
Components","CARTER",0.19666800778298
"392",2013-09-30,"Combination","Additional
DoD
Components","KENDALL",-1.99861886869097e-06
"393",2013-09-30,"Cost+","Army","YOUNG",1.27827722426556
"394",2013-09-30,"Cost+","Army","CARTER",6.95796332438215
"395",2013-09-30,"Cost+","Army","KENDALL",15.2487773049712
