"","Fiscal.Year","Competition.sum","SubCustomer.component","USDATL","Obligation.2014"
"124",2009-09-30,"No Comp.","Additional
DoD
Components","YOUNG",1.64854397958433
"125",2009-09-30,"No Comp.","Additional
DoD
Components","CARTER",1.01886136074908
"126",2009-09-30,"Unlabeled","Army","YOUNG",0.780952210261961
"127",2009-09-30,"Unlabeled","Army","CARTER",0.428150260478459
"128",2009-09-30,"Unlabeled","Navy","YOUNG",0.331731957501624
"129",2009-09-30,"Unlabeled","Navy","CARTER",0.131412109331024
"130",2009-09-30,"Unlabeled","Air Force","YOUNG",0.112432463509418
"131",2009-09-30,"Unlabeled","Air Force","CARTER",0.161732003225806
"132",2009-09-30,"Unlabeled","DLA","YOUNG",0.0349602879194631
"133",2009-09-30,"Unlabeled","DLA","CARTER",0.0127583434942628
"134",2009-09-30,"Unlabeled","MDA","YOUNG",0.0190169963844988
"135",2009-09-30,"Unlabeled","MDA","CARTER",1.55027495128816e-05
"136",2009-09-30,"Unlabeled","Military
Health","YOUNG",0
"137",2009-09-30,"Unlabeled","Additional
DoD
Components","YOUNG",0.129454996644295
"138",2009-09-30,"Unlabeled","Additional
DoD
Components","CARTER",0.0248070216497077
"139",2010-09-30,"1 Offer","Army","YOUNG",3.16986709983954
"140",2010-09-30,"1 Offer","Army","CARTER",15.7495759110933
"141",2010-09-30,"1 Offer","Navy","YOUNG",2.53405308730081
"142",2010-09-30,"1 Offer","Navy","CARTER",6.88142755668496
"143",2010-09-30,"1 Offer","Air Force","YOUNG",0.88042893787976
"144",2010-09-30,"1 Offer","Air Force","CARTER",3.20725400146555
"145",2010-09-30,"1 Offer","DLA","YOUNG",0.0786978484167736
"146",2010-09-30,"1 Offer","DLA","CARTER",3.44692798002781
"147",2010-09-30,"1 Offer","MDA","YOUNG",0.264262334167736
"148",2010-09-30,"1 Offer","MDA","CARTER",0.307612806771502
"149",2010-09-30,"1 Offer","Military
Health","YOUNG",0
"150",2010-09-30,"1 Offer","Military
Health","CARTER",0.00351603192126658
"151",2010-09-30,"1 Offer","Additional
DoD
Components","YOUNG",0.368288928872486
"152",2010-09-30,"1 Offer","Additional
DoD
Components","CARTER",2.42082369418057
"153",2010-09-30,"2 Offers","Army","YOUNG",4.07584761213094
"154",2010-09-30,"2 Offers","Army","CARTER",10.2364702247219
"155",2010-09-30,"2 Offers","Navy","YOUNG",2.45190597885109
"156",2010-09-30,"2 Offers","Navy","CARTER",5.32987253992298
"157",2010-09-30,"2 Offers","Air Force","YOUNG",1.50872953292683
"158",2010-09-30,"2 Offers","Air Force","CARTER",4.85022523569748
"159",2010-09-30,"2 Offers","DLA","YOUNG",0.0977464275353017
"160",2010-09-30,"2 Offers","DLA","CARTER",4.6179340504065
"161",2010-09-30,"2 Offers","MDA","YOUNG",0.00176847851946941
"162",2010-09-30,"2 Offers","MDA","CARTER",0.00438519262943945
"163",2010-09-30,"2 Offers","Military
Health","YOUNG",0.0250569300385109
"164",2010-09-30,"2 Offers","Military
Health","CARTER",0.179186953936671
"165",2010-09-30,"2 Offers","Additional
DoD
Components","YOUNG",0.460850994234061
"166",2010-09-30,"2 Offers","Additional
DoD
Components","CARTER",2.15886087011125
"167",2010-09-30,"3+ Offers","Army","YOUNG",8.9689567682178
"168",2010-09-30,"3+ Offers","Army","CARTER",44.9945879529314
"169",2010-09-30,"3+ Offers","Navy","YOUNG",4.20200788327985
"170",2010-09-30,"3+ Offers","Navy","CARTER",17.6396796684318
"171",2010-09-30,"3+ Offers","Air Force","YOUNG",3.4552509754172
"172",2010-09-30,"3+ Offers","Air Force","CARTER",9.01291464587077
"173",2010-09-30,"3+ Offers","DLA","YOUNG",0.631110959231921
"174",2010-09-30,"3+ Offers","DLA","CARTER",19.8550346279953
"175",2010-09-30,"3+ Offers","MDA","YOUNG",0.903441890746684
"176",2010-09-30,"3+ Offers","MDA","CARTER",0.135457821074027
"177",2010-09-30,"3+ Offers","Military
Health","YOUNG",0.50595714241549
"178",2010-09-30,"3+ Offers","Military
Health","CARTER",0.41691533025246
"179",2010-09-30,"3+ Offers","Additional
DoD
Components","YOUNG",1.0830983127193
"180",2010-09-30,"3+ Offers","Additional
DoD
Components","CARTER",7.60749599945443
"181",2010-09-30,"No Comp.","Army","YOUNG",10.3030357292683
"182",2010-09-30,"No Comp.","Army","CARTER",32.990668088757
"183",2010-09-30,"No Comp.","Navy","YOUNG",11.3925462043432
"184",2010-09-30,"No Comp.","Navy","CARTER",22.7234080692341
"185",2010-09-30,"No Comp.","Air Force","YOUNG",8.61290001019469
"186",2010-09-30,"No Comp.","Air Force","CARTER",19.9048773384574
"187",2010-09-30,"No Comp.","DLA","YOUNG",0.344692860772358
"188",2010-09-30,"No Comp.","DLA","CARTER",7.79131564548566
"189",2010-09-30,"No Comp.","MDA","YOUNG",0.79664029474754
"190",2010-09-30,"No Comp.","MDA","CARTER",0.639414895870774
"191",2010-09-30,"No Comp.","Military
Health","YOUNG",1.11641550287762
"192",2010-09-30,"No Comp.","Military
Health","CARTER",0.000901739356011981
"193",2010-09-30,"No Comp.","Additional
DoD
Components","YOUNG",0.306210930744544
"194",2010-09-30,"No Comp.","Additional
DoD
Components","CARTER",2.60027877815576
"195",2010-09-30,"Unlabeled","Army","YOUNG",0.156004283953787
"196",2010-09-30,"Unlabeled","Army","CARTER",2.3754552623021
"197",2010-09-30,"Unlabeled","Navy","YOUNG",0.041644582809157
"198",2010-09-30,"Unlabeled","Navy","CARTER",0.228258077888318
"199",2010-09-30,"Unlabeled","Air Force","YOUNG",0.0105267309798887
"200",2010-09-30,"Unlabeled","Air Force","CARTER",0.188139441409927
"201",2010-09-30,"Unlabeled","DLA","YOUNG",0.00741463674582798
"202",2010-09-30,"Unlabeled","DLA","CARTER",0.0324704655541292
"203",2010-09-30,"Unlabeled","MDA","YOUNG",0.0105611575203252
"204",2010-09-30,"Unlabeled","MDA","CARTER",5.82618741976894e-06
"205",2010-09-30,"Unlabeled","Military
Health","CARTER",0
"206",2010-09-30,"Unlabeled","Additional
DoD
Components","YOUNG",0.019230632809157
"207",2010-09-30,"Unlabeled","Additional
DoD
Components","CARTER",0.025020442821994
"208",2011-09-30,"1 Offer","Army","YOUNG",1.34926471447755
"209",2011-09-30,"1 Offer","Army","CARTER",5.13627788126311
"210",2011-09-30,"1 Offer","Army","KENDALL",10.0046667585397
"211",2011-09-30,"1 Offer","Navy","YOUNG",2.34493592123374
"212",2011-09-30,"1 Offer","Navy","CARTER",3.04069956957616
"213",2011-09-30,"1 Offer","Navy","KENDALL",4.7270770984893
"214",2011-09-30,"1 Offer","Air Force","YOUNG",0.565393483864876
"215",2011-09-30,"1 Offer","Air Force","CARTER",1.32828774830046
"216",2011-09-30,"1 Offer","Air Force","KENDALL",1.93729131961813
"217",2011-09-30,"1 Offer","DLA","YOUNG",0.0347657817247167
"218",2011-09-30,"1 Offer","DLA","CARTER",0.428154381504406
"219",2011-09-30,"1 Offer","DLA","KENDALL",2.56787930246538
"220",2011-09-30,"1 Offer","MDA","YOUNG",0.0194312035564415
"221",2011-09-30,"1 Offer","MDA","CARTER",0.204989432857742
"222",2011-09-30,"1 Offer","MDA","KENDALL",0.165310973331935
"223",2011-09-30,"1 Offer","Military
Health","YOUNG",0.00212606020772136
"224",2011-09-30,"1 Offer","Military
Health","CARTER",-0.000411293999160722
"225",2011-09-30,"1 Offer","Military
Health","KENDALL",0.00113855792068821
"226",2011-09-30,"1 Offer","Additional
DoD
Components","YOUNG",0.171385318925724
"227",2011-09-30,"1 Offer","Additional
DoD
Components","CARTER",0.736644124853126
"228",2011-09-30,"1 Offer","Additional
DoD
Components","KENDALL",1.74529588160932
"229",2011-09-30,"2 Offers","Army","YOUNG",2.21484328556441
"230",2011-09-30,"2 Offers","Army","CARTER",3.67376729574066
"231",2011-09-30,"2 Offers","Army","KENDALL",7.53259705830885
"232",2011-09-30,"2 Offers","Navy","YOUNG",1.91947547525178
"233",2011-09-30,"2 Offers","Navy","CARTER",2.25110450566513
"234",2011-09-30,"2 Offers","Navy","KENDALL",7.43513324424045
"235",2011-09-30,"2 Offers","Air Force","YOUNG",1.10242855554973
"236",2011-09-30,"2 Offers","Air Force","CARTER",2.74751656859001
"237",2011-09-30,"2 Offers","Air Force","KENDALL",3.68691480153168
"238",2011-09-30,"2 Offers","DLA","YOUNG",0.067335020268569
"239",2011-09-30,"2 Offers","DLA","CARTER",0.588400682731851
"240",2011-09-30,"2 Offers","DLA","KENDALL",3.51350502994125
"241",2011-09-30,"2 Offers","MDA","YOUNG",0.00148613634074696
"242",2011-09-30,"2 Offers","MDA","CARTER",0.000455278608896349
"243",2011-09-30,"2 Offers","MDA","KENDALL",0.0142404602182123
"244",2011-09-30,"2 Offers","Military
Health","YOUNG",-0.00337181723667646
"245",2011-09-30,"2 Offers","Military
Health","CARTER",1.28368725455308
"246",2011-09-30,"2 Offers","Military
Health","KENDALL",0.036089310858162
"247",2011-09-30,"2 Offers","Additional
DoD
Components","YOUNG",0.308181225828787
"248",2011-09-30,"2 Offers","Additional
DoD
Components","CARTER",1.03472909995804
"249",2011-09-30,"2 Offers","Additional
DoD
Components","KENDALL",1.68069549453945
"250",2011-09-30,"3+ Offers","Army","YOUNG",4.36116935096517
"251",2011-09-30,"3+ Offers","Army","CARTER",13.9331515876102
"252",2011-09-30,"3+ Offers","Army","KENDALL",29.4201280914918
"253",2011-09-30,"3+ Offers","Navy","YOUNG",3.83260038091691
"254",2011-09-30,"3+ Offers","Navy","CARTER",6.03526412701427
"255",2011-09-30,"3+ Offers","Navy","KENDALL",13.0490783225871
"256",2011-09-30,"3+ Offers","Air Force","YOUNG",2.31729404354805
"257",2011-09-30,"3+ Offers","Air Force","CARTER",2.77812457934326
"258",2011-09-30,"3+ Offers","Air Force","KENDALL",7.28120514765002
"259",2011-09-30,"3+ Offers","DLA","YOUNG",0.271622189509022
"260",2011-09-30,"3+ Offers","DLA","CARTER",2.34999283433697
"261",2011-09-30,"3+ Offers","DLA","KENDALL",20.7112887452686
"262",2011-09-30,"3+ Offers","MDA","YOUNG",0.913088424706253
"263",2011-09-30,"3+ Offers","MDA","CARTER",0.111448786540076
"264",2011-09-30,"3+ Offers","MDA","KENDALL",0.37746794646454
"265",2011-09-30,"3+ Offers","Military
Health","YOUNG",0.677018711938733
"266",2011-09-30,"3+ Offers","Military
Health","CARTER",0.180825699013848
"267",2011-09-30,"3+ Offers","Military
Health","KENDALL",0.294529884903483
"268",2011-09-30,"3+ Offers","Additional
DoD
Components","YOUNG",0.754603469964331
"269",2011-09-30,"3+ Offers","Additional
DoD
Components","CARTER",3.01942206289341
"270",2011-09-30,"3+ Offers","Additional
DoD
Components","KENDALL",8.88390365586446
"271",2011-09-30,"No Comp.","Army","YOUNG",8.71028229060008
"272",2011-09-30,"No Comp.","Army","CARTER",8.93545901312421
"273",2011-09-30,"No Comp.","Army","KENDALL",24.6912192582669
"274",2011-09-30,"No Comp.","Navy","YOUNG",15.4810962299622
"275",2011-09-30,"No Comp.","Navy","CARTER",10.1790412481326
"276",2011-09-30,"No Comp.","Navy","KENDALL",19.3199325633026
"277",2011-09-30,"No Comp.","Air Force","YOUNG",4.30589788359211
"278",2011-09-30,"No Comp.","Air Force","CARTER",8.86037791725766
"279",2011-09-30,"No Comp.","Air Force","KENDALL",16.7881376709715
"280",2011-09-30,"No Comp.","DLA","YOUNG",0.23502660730172
"281",2011-09-30,"No Comp.","DLA","CARTER",0.526898774517415
"282",2011-09-30,"No Comp.","DLA","KENDALL",5.8486083583718
"283",2011-09-30,"No Comp.","MDA","YOUNG",0.134533080969366
"284",2011-09-30,"No Comp.","MDA","CARTER",1.0271637787243
"285",2011-09-30,"No Comp.","MDA","KENDALL",0.340653179427193
"286",2011-09-30,"No Comp.","Military
Health","YOUNG",1.19984792726605
"287",2011-09-30,"No Comp.","Military
Health","CARTER",0.000313010543432648
"288",2011-09-30,"No Comp.","Military
Health","KENDALL",0.00829960843474612
"289",2011-09-30,"No Comp.","Additional
DoD
Components","YOUNG",0.233912619775493
"290",2011-09-30,"No Comp.","Additional
DoD
Components","CARTER",0.304673832752832
"291",2011-09-30,"No Comp.","Additional
DoD
Components","KENDALL",2.18007741644985
"292",2011-09-30,"Unlabeled","Army","YOUNG",0.0984427412085606
"293",2011-09-30,"Unlabeled","Army","CARTER",0.397929158235418
"294",2011-09-30,"Unlabeled","Army","KENDALL",1.14426186361729
"295",2011-09-30,"Unlabeled","Navy","YOUNG",0.0153203199538397
"296",2011-09-30,"Unlabeled","Navy","CARTER",0.0497387572807386
"297",2011-09-30,"Unlabeled","Navy","KENDALL",0.186211702014268
"298",2011-09-30,"Unlabeled","Air Force","YOUNG",0.00277829890893831
"299",2011-09-30,"Unlabeled","Air Force","CARTER",0.0493955723667646
"300",2011-09-30,"Unlabeled","Air Force","KENDALL",0.144408538176668
"301",2011-09-30,"Unlabeled","DLA","YOUNG",0.00014138642467478
"302",2011-09-30,"Unlabeled","DLA","CARTER",0.000810715610574905
"303",2011-09-30,"Unlabeled","DLA","KENDALL",0.242579167121276
"304",2011-09-30,"Unlabeled","MDA","YOUNG",0.00172115190935795
"305",2011-09-30,"Unlabeled","MDA","CARTER",0
"306",2011-09-30,"Unlabeled","MDA","KENDALL",0.000508812421317667
"307",2011-09-30,"Unlabeled","Military
Health","YOUNG",-1.31472933277381e-07
"308",2011-09-30,"Unlabeled","Military
Health","KENDALL",0
"309",2011-09-30,"Unlabeled","Additional
DoD
Components","YOUNG",0.0155269631032312
"310",2011-09-30,"Unlabeled","Additional
DoD
Components","CARTER",0.011480802832564
"311",2011-09-30,"Unlabeled","Additional
DoD
Components","KENDALL",0.0274029699958036
"312",2012-09-30,"1 Offer","Army","YOUNG",0.615143773164453
"313",2012-09-30,"1 Offer","Army","CARTER",1.60023676709917
"314",2012-09-30,"1 Offer","Army","KENDALL",8.90944666773762
"315",2012-09-30,"1 Offer","Navy","YOUNG",1.73340798000206
"316",2012-09-30,"1 Offer","Navy","CARTER",1.42029891462259
"317",2012-09-30,"1 Offer","Navy","KENDALL",5.55805653625785
"318",2012-09-30,"1 Offer","Air Force","YOUNG",0.324049368437854
"319",2012-09-30,"1 Offer","Air Force","CARTER",0.807246418031099
"320",2012-09-30,"1 Offer","Air Force","KENDALL",2.40068473024405
"321",2012-09-30,"1 Offer","DLA","YOUNG",0.0186476780661106
"322",2012-09-30,"1 Offer","DLA","CARTER",0.0629692981670271
"323",2012-09-30,"1 Offer","DLA","KENDALL",2.82629592529091
"324",2012-09-30,"1 Offer","MDA","YOUNG",-0.00052670577695397
"325",2012-09-30,"1 Offer","MDA","CARTER",0.0538923452991453
"326",2012-09-30,"1 Offer","MDA","KENDALL",0.379364845340336
"327",2012-09-30,"1 Offer","Military
Health","YOUNG",0.00129873475440222
"328",2012-09-30,"1 Offer","Military
Health","CARTER",0.00143903522809185
"329",2012-09-30,"1 Offer","Military
Health","KENDALL",0.0148763524353826
"330",2012-09-30,"1 Offer","Additional
DoD
Components","YOUNG",0.13969598158789
"331",2012-09-30,"1 Offer","Additional
DoD
Components","CARTER",0.537753909236948
"332",2012-09-30,"1 Offer","Additional
DoD
Components","KENDALL",2.0055711141592
"333",2012-09-30,"2 Offers","Army","YOUNG",1.23679177532695
"334",2012-09-30,"2 Offers","Army","CARTER",1.98773842563073
"335",2012-09-30,"2 Offers","Army","KENDALL",9.73389342811245
"336",2012-09-30,"2 Offers","Navy","YOUNG",1.14620115314592
"337",2012-09-30,"2 Offers","Navy","CARTER",1.4572086197405
"338",2012-09-30,"2 Offers","Navy","KENDALL",7.37629361253218
"339",2012-09-30,"2 Offers","Air Force","YOUNG",1.00492041686747
"340",2012-09-30,"2 Offers","Air Force","CARTER",1.35056028137164
"341",2012-09-30,"2 Offers","Air Force","KENDALL",4.8678791428998
"342",2012-09-30,"2 Offers","DLA","YOUNG",0.0478759277314386
"343",2012-09-30,"2 Offers","DLA","CARTER",0.0965975212439502
"344",2012-09-30,"2 Offers","DLA","KENDALL",2.80816761279992
"345",2012-09-30,"2 Offers","MDA","YOUNG",0.000989456142518793
"346",2012-09-30,"2 Offers","MDA","CARTER",0
"347",2012-09-30,"2 Offers","MDA","KENDALL",0.384417815858305
"348",2012-09-30,"2 Offers","Military
Health","YOUNG",-0.0310137796416435
"349",2012-09-30,"2 Offers","Military
Health","CARTER",3.03148725512306
"350",2012-09-30,"2 Offers","Military
Health","KENDALL",1.57091857502832
"351",2012-09-30,"2 Offers","Additional
DoD
Components","YOUNG",0.200786888785913
"352",2012-09-30,"2 Offers","Additional
DoD
Components","CARTER",0.38378361785604
"353",2012-09-30,"2 Offers","Additional
DoD
Components","KENDALL",1.91492057154773
"354",2012-09-30,"3+ Offers","Army","YOUNG",2.33471115833591
"355",2012-09-30,"3+ Offers","Army","CARTER",8.44335289357553
"356",2012-09-30,"3+ Offers","Army","KENDALL",32.1238473418392
"357",2012-09-30,"3+ Offers","Navy","YOUNG",3.06225412826691
"358",2012-09-30,"3+ Offers","Navy","CARTER",2.79876906148697
"359",2012-09-30,"3+ Offers","Navy","KENDALL",14.9968084827824
"360",2012-09-30,"3+ Offers","Air Force","YOUNG",1.45515679713727
"361",2012-09-30,"3+ Offers","Air Force","CARTER",1.31624434866646
"362",2012-09-30,"3+ Offers","Air Force","KENDALL",9.10100900061786
"363",2012-09-30,"3+ Offers","DLA","YOUNG",0.245576973071774
"364",2012-09-30,"3+ Offers","DLA","CARTER",0.206232363299351
"365",2012-09-30,"3+ Offers","DLA","KENDALL",30.5714055077848
"366",2012-09-30,"3+ Offers","MDA","YOUNG",0.339605723396149
"367",2012-09-30,"3+ Offers","MDA","CARTER",0.0815428168159819
"368",2012-09-30,"3+ Offers","MDA","KENDALL",0.810282563958398
"369",2012-09-30,"3+ Offers","Military
Health","YOUNG",0.686294739254454
"370",2012-09-30,"3+ Offers","Military
Health","CARTER",0.0118613114097415
"371",2012-09-30,"3+ Offers","Military
Health","KENDALL",0.527471736906601
"372",2012-09-30,"3+ Offers","Additional
DoD
Components","YOUNG",0.510956859592215
"373",2012-09-30,"3+ Offers","Additional
DoD
Components","CARTER",1.44680064391927
"374",2012-09-30,"3+ Offers","Additional
DoD
Components","KENDALL",11.2229421075584
"375",2012-09-30,"No Comp.","Army","YOUNG",3.74876457629492
"376",2012-09-30,"No Comp.","Army","CARTER",4.18297891517866
"377",2012-09-30,"No Comp.","Army","KENDALL",30.8715775903923
"378",2012-09-30,"No Comp.","Navy","YOUNG",12.1407123563794
"379",2012-09-30,"No Comp.","Navy","CARTER",9.95300075490681
"380",2012-09-30,"No Comp.","Navy","KENDALL",23.6205846193543
"381",2012-09-30,"No Comp.","Air Force","YOUNG",2.96505411423128
"382",2012-09-30,"No Comp.","Air Force","CARTER",4.58429856205334
