"","Fiscal.Year","SinceFirstFiscalYear","Pricing.Mechanism.sum","SubCustomer.component","ATLpolicy","Obligation.2014"
"198",2008-09-30,1.25205479452055,"Time/Mat.","DLA","YOUNG",0.00376894943600868
"199",2008-09-30,1.25205479452055,"Time/Mat.","MDA","YOUNG",0.000309110629067245
"200",2008-09-30,1.25205479452055,"Time/Mat.","Additional
DoD
Components","YOUNG",0.0453441490130152
"201",2008-09-30,1.25205479452055,"Unlabeled","Army","YOUNG",-0.0547144754446855
"202",2008-09-30,1.25205479452055,"Unlabeled","Navy","YOUNG",0.0702195521691974
"203",2008-09-30,1.25205479452055,"Unlabeled","Air Force","YOUNG",4.70793817787418e-05
"204",2008-09-30,1.25205479452055,"Unlabeled","DLA","YOUNG",-1.13817787418655e-06
"205",2008-09-30,1.25205479452055,"Unlabeled","Additional
DoD
Components","YOUNG",-0.000625788253796095
"206",2008-09-30,1.33698630136986,"Combination","Army","YOUNG",0.329345461691974
"207",2008-09-30,1.33698630136986,"Combination","Navy","YOUNG",0.109066788394794
"208",2008-09-30,1.33698630136986,"Combination","Air Force","YOUNG",0.059265236670282
"209",2008-09-30,1.33698630136986,"Combination","DLA","YOUNG",0.0505756268980477
"210",2008-09-30,1.33698630136986,"Combination","MDA","YOUNG",0.00802856724511931
"211",2008-09-30,1.33698630136986,"Combination","Military
Health","YOUNG",0
"212",2008-09-30,1.33698630136986,"Combination","Additional
DoD
Components","YOUNG",0.0497308029392625
"213",2008-09-30,1.33698630136986,"Cost+","Army","YOUNG",0.591662027668113
"214",2008-09-30,1.33698630136986,"Cost+","Navy","YOUNG",1.07240469347072
"215",2008-09-30,1.33698630136986,"Cost+","Air Force","YOUNG",1.70891793560738
"216",2008-09-30,1.33698630136986,"Cost+","DLA","YOUNG",5.08058568329718e-05
"217",2008-09-30,1.33698630136986,"Cost+","MDA","YOUNG",0.0942404804772234
"218",2008-09-30,1.33698630136986,"Cost+","Additional
DoD
Components","YOUNG",0.116183812451193
"219",2008-09-30,1.33698630136986,"Fixed","Army","YOUNG",5.92704969635575
"220",2008-09-30,1.33698630136986,"Fixed","Navy","YOUNG",2.15792564640781
"221",2008-09-30,1.33698630136986,"Fixed","Air Force","YOUNG",1.39269583247289
"222",2008-09-30,1.33698630136986,"Fixed","DLA","YOUNG",1.8805611295987
"223",2008-09-30,1.33698630136986,"Fixed","MDA","YOUNG",0.0172452201735358
"224",2008-09-30,1.33698630136986,"Fixed","Military
Health","YOUNG",0.00103134772234273
"225",2008-09-30,1.33698630136986,"Fixed","Additional
DoD
Components","YOUNG",0.528680691659436
"226",2008-09-30,1.33698630136986,"Time/Mat.","Army","YOUNG",0.425075321561822
"227",2008-09-30,1.33698630136986,"Time/Mat.","Navy","YOUNG",0.0943183861713666
"228",2008-09-30,1.33698630136986,"Time/Mat.","Air Force","YOUNG",0.267989258720174
"229",2008-09-30,1.33698630136986,"Time/Mat.","DLA","YOUNG",0.001640550835141
"230",2008-09-30,1.33698630136986,"Time/Mat.","Additional
DoD
Components","YOUNG",0.0350990135032538
"231",2008-09-30,1.33698630136986,"Unlabeled","Army","YOUNG",0.0341587431236442
"232",2008-09-30,1.33698630136986,"Unlabeled","Navy","YOUNG",0.0453953265184382
"233",2008-09-30,1.33698630136986,"Unlabeled","Air Force","YOUNG",-0.0019299280802603
"234",2008-09-30,1.33698630136986,"Unlabeled","DLA","YOUNG",0
"235",2008-09-30,1.33698630136986,"Unlabeled","Additional
DoD
Components","YOUNG",-1.85660629067245e-05
"236",2008-09-30,1.41643835616438,"Combination","Army","YOUNG",0.278329010021692
"237",2008-09-30,1.41643835616438,"Combination","Navy","YOUNG",0.218214952841649
"238",2008-09-30,1.41643835616438,"Combination","Air Force","YOUNG",0.0772222183947939
"239",2008-09-30,1.41643835616438,"Combination","DLA","YOUNG",0.030972027505423
"240",2008-09-30,1.41643835616438,"Combination","MDA","YOUNG",0.0149148085683297
"241",2008-09-30,1.41643835616438,"Combination","Military
Health","YOUNG",0
"242",2008-09-30,1.41643835616438,"Combination","Additional
DoD
Components","YOUNG",0.106228866442516
"243",2008-09-30,1.41643835616438,"Cost+","Army","YOUNG",0.516785188839479
"244",2008-09-30,1.41643835616438,"Cost+","Navy","YOUNG",0.755719305140998
"245",2008-09-30,1.41643835616438,"Cost+","Air Force","YOUNG",0.935407206008677
"246",2008-09-30,1.41643835616438,"Cost+","DLA","YOUNG",0.00256427982646421
"247",2008-09-30,1.41643835616438,"Cost+","MDA","YOUNG",0.0281317039045553
"248",2008-09-30,1.41643835616438,"Cost+","Additional
DoD
Components","YOUNG",0.1804910364859
"249",2008-09-30,1.41643835616438,"Fixed","Army","YOUNG",7.159160619859
"250",2008-09-30,1.41643835616438,"Fixed","Navy","YOUNG",4.74224146767896
"251",2008-09-30,1.41643835616438,"Fixed","Air Force","YOUNG",1.18739691414317
"252",2008-09-30,1.41643835616438,"Fixed","DLA","YOUNG",6.12032138539045
"253",2008-09-30,1.41643835616438,"Fixed","MDA","YOUNG",0.00383643383947939
"254",2008-09-30,1.41643835616438,"Fixed","Military
Health","YOUNG",5.0130021691974e-05
"255",2008-09-30,1.41643835616438,"Fixed","Additional
DoD
Components","YOUNG",0.741667732418655
"256",2008-09-30,1.41643835616438,"Time/Mat.","Army","YOUNG",0.614893564110629
"257",2008-09-30,1.41643835616438,"Time/Mat.","Navy","YOUNG",0.119275043340564
"258",2008-09-30,1.41643835616438,"Time/Mat.","Air Force","YOUNG",0.353393448275488
"259",2008-09-30,1.41643835616438,"Time/Mat.","DLA","YOUNG",0.00863094924078091
"260",2008-09-30,1.41643835616438,"Time/Mat.","MDA","YOUNG",0.000289587852494577
"261",2008-09-30,1.41643835616438,"Time/Mat.","Additional
DoD
Components","YOUNG",0.0276042770065076
"262",2008-09-30,1.41643835616438,"Unlabeled","Army","YOUNG",-0.00910207720173536
"263",2008-09-30,1.41643835616438,"Unlabeled","Navy","YOUNG",0.0577468647071583
"264",2008-09-30,1.41643835616438,"Unlabeled","Air Force","YOUNG",0.000259931073752711
"265",2008-09-30,1.41643835616438,"Unlabeled","DLA","YOUNG",7.63865401301518e-05
"266",2008-09-30,1.41643835616438,"Unlabeled","Additional
DoD
Components","YOUNG",0.000398143806941432
"267",2008-09-30,1.5013698630137,"Combination","Army","YOUNG",0.345295245574837
"268",2008-09-30,1.5013698630137,"Combination","Navy","YOUNG",0.177159250911063
"269",2008-09-30,1.5013698630137,"Combination","Air Force","YOUNG",0.108574457765727
"270",2008-09-30,1.5013698630137,"Combination","DLA","YOUNG",0.0312578720173536
"271",2008-09-30,1.5013698630137,"Combination","MDA","YOUNG",0.00954973933839479
"272",2008-09-30,1.5013698630137,"Combination","Additional
DoD
Components","YOUNG",0.13120465516269
"273",2008-09-30,1.5013698630137,"Cost+","Army","YOUNG",1.27423182694143
"274",2008-09-30,1.5013698630137,"Cost+","Navy","YOUNG",1.30364150678959
"275",2008-09-30,1.5013698630137,"Cost+","Air Force","YOUNG",0.84259250478308
"276",2008-09-30,1.5013698630137,"Cost+","DLA","YOUNG",0.00252190021691974
"277",2008-09-30,1.5013698630137,"Cost+","MDA","YOUNG",0.0221160032537961
"278",2008-09-30,1.5013698630137,"Cost+","Additional
DoD
Components","YOUNG",0.113193458893709
"279",2008-09-30,1.5013698630137,"Fixed","Army","YOUNG",4.79406969142082
"280",2008-09-30,1.5013698630137,"Fixed","Navy","YOUNG",2.18173979408894
"281",2008-09-30,1.5013698630137,"Fixed","Air Force","YOUNG",1.50370714109544
"282",2008-09-30,1.5013698630137,"Fixed","DLA","YOUNG",2.22136197834056
"283",2008-09-30,1.5013698630137,"Fixed","MDA","YOUNG",0.000757130151843818
"284",2008-09-30,1.5013698630137,"Fixed","Military
Health","YOUNG",0.0102799851084599
"285",2008-09-30,1.5013698630137,"Fixed","Additional
DoD
Components","YOUNG",0.508495953036876
"286",2008-09-30,1.5013698630137,"Other","DLA","YOUNG",0
"287",2008-09-30,1.5013698630137,"Time/Mat.","Army","YOUNG",0.464707379067245
"288",2008-09-30,1.5013698630137,"Time/Mat.","Navy","YOUNG",0.0596263596529284
"289",2008-09-30,1.5013698630137,"Time/Mat.","Air Force","YOUNG",0.253822042288503
"290",2008-09-30,1.5013698630137,"Time/Mat.","DLA","YOUNG",0.0104449872451193
"291",2008-09-30,1.5013698630137,"Time/Mat.","Additional
DoD
Components","YOUNG",0.0199634446420824
"292",2008-09-30,1.5013698630137,"Unlabeled","Army","YOUNG",-0.00467226957700651
"293",2008-09-30,1.5013698630137,"Unlabeled","Navy","YOUNG",0.0311290094468547
"294",2008-09-30,1.5013698630137,"Unlabeled","Air Force","YOUNG",-0.000387037971800434
"295",2008-09-30,1.5013698630137,"Unlabeled","DLA","YOUNG",0.000596329620390456
"296",2008-09-30,1.5013698630137,"Unlabeled","MDA","YOUNG",0
"297",2008-09-30,1.5013698630137,"Unlabeled","Additional
DoD
Components","YOUNG",-0.00135496471800434
"298",2008-09-30,1.58356164383562,"Combination","Army","YOUNG",0.314173818655098
"299",2008-09-30,1.58356164383562,"Combination","Navy","YOUNG",0.206960329045553
"300",2008-09-30,1.58356164383562,"Combination","Air Force","YOUNG",0.109818763535792
"301",2008-09-30,1.58356164383562,"Combination","DLA","YOUNG",0.0468006290672451
"302",2008-09-30,1.58356164383562,"Combination","MDA","YOUNG",0.0608365647505423
"303",2008-09-30,1.58356164383562,"Combination","Military
Health","YOUNG",7.2234273318872e-06
"304",2008-09-30,1.58356164383562,"Combination","Additional
DoD
Components","YOUNG",0.121617838221258
"305",2008-09-30,1.58356164383562,"Cost+","Army","YOUNG",0.392994188362256
"306",2008-09-30,1.58356164383562,"Cost+","Navy","YOUNG",1.75203742878525
"307",2008-09-30,1.58356164383562,"Cost+","Air Force","YOUNG",0.611011162939262
"308",2008-09-30,1.58356164383562,"Cost+","DLA","YOUNG",0.000144780911062907
"309",2008-09-30,1.58356164383562,"Cost+","MDA","YOUNG",0.0426063297180043
"310",2008-09-30,1.58356164383562,"Cost+","Additional
DoD
Components","YOUNG",0.0950790177331887
"311",2008-09-30,1.58356164383562,"Fixed","Army","YOUNG",7.44083280774403
"312",2008-09-30,1.58356164383562,"Fixed","Navy","YOUNG",1.89460841809111
"313",2008-09-30,1.58356164383562,"Fixed","Air Force","YOUNG",1.52555302758134
"314",2008-09-30,1.58356164383562,"Fixed","DLA","YOUNG",1.25470056270065
"315",2008-09-30,1.58356164383562,"Fixed","MDA","YOUNG",0.000941077646420824
"316",2008-09-30,1.58356164383562,"Fixed","Military
Health","YOUNG",1.49946746203905e-05
"317",2008-09-30,1.58356164383562,"Fixed","Additional
DoD
Components","YOUNG",0.484553336583514
