fiscal_year,Query_Run,Customer,SubCustomer,ServicesCategory,FundingMechanismClassification,USDATL,BBP1,WSARAreg,BBP2,BBP3,SumOfobligatedAmount,SumOfnumberOfActions
1990,2015-03-19 16:42:44.597,Defense,Army,Products,NULL,NULL,0,0,0,0,5977937000.0000,NULL
1990,2015-03-19 16:42:44.597,Defense,Army,Products,Time and Materials,NULL,0,0,0,0,62297000.0000,NULL
1990,2015-03-19 16:42:44.597,Defense,Army,R&D,Cost Plus Award Fee,NULL,0,0,0,0,94349000.0000,NULL
1990,2015-03-19 16:42:44.597,Defense,Army,R&D,Cost Sharing,NULL,0,0,0,0,28470000.0000,NULL
1990,2015-03-19 16:42:44.597,Defense,Army,R&D,Labor Hours,NULL,0,0,0,0,3594000.0000,NULL
1990,2015-03-19 16:42:44.597,Defense,DLA,MED,Firm Fixed Price,NULL,0,0,0,0,202000.0000,NULL
1990,2015-03-19 16:42:44.597,Defense,DLA,PAMS,Time and Materials,NULL,0,0,0,0,1250000.0000,NULL
1990,2015-03-19 16:42:44.597,Defense,DLA,Products,NULL,NULL,0,0,0,0,2173736000.0000,NULL
1990,2015-03-19 16:42:44.597,Defense,Navy,FRS&C,Fixed Price Redetermination,NULL,0,0,0,0,4827000.0000,NULL
1990,2015-03-19 16:42:44.597,Defense,Navy,PAMS,Cost Plus Fixed Fee,NULL,0,0,0,0,2209139676.0000,2
1990,2015-03-19 16:42:44.597,Defense,Navy,Products,Cost Plus Fixed Fee,NULL,0,0,0,0,589491000.0000,NULL
1990,2015-03-19 16:42:44.597,Defense,Navy,R&D,Fixed Price Incentive,NULL,0,0,0,0,1383142000.0000,NULL
1990,2015-03-19 16:42:44.597,Defense,Navy,R&D,Time and Materials,NULL,0,0,0,0,67274000.0000,NULL
1990,2015-03-19 16:42:44.597,Defense,Other DoD,ERS,Cost Plus Fixed Fee,NULL,0,0,0,0,656000.0000,NULL
1990,2015-03-19 16:42:44.597,Defense,Other DoD,ICT,Cost Plus Incentive,NULL,0,0,0,0,5650000.0000,NULL
1990,2015-03-19 16:42:44.597,Defense,Other DoD,Products,Fixed Price Redetermination,NULL,0,0,0,0,1345000.0000,NULL
1990,2015-03-19 16:42:44.597,Defense,Other DoD,R&D,Cost Plus Award Fee,NULL,0,0,0,0,291029000.0000,NULL
NULL,2015-03-19 16:42:44.597,Defense,Other DoD,NULL,NULL,NULL,0,0,0,0,NULL,NULL
1989,2015-03-19 16:42:44.597,Defense,Navy,NULL,NULL,NULL,0,0,0,0,NULL,NULL
1989,2015-03-19 16:42:44.597,Defense,Navy,ERS,Cost Plus Award Fee,NULL,0,0,0,0,2113000.0000,NULL
1989,2015-03-19 16:42:44.597,Defense,Navy,ICT,Firm Fixed Price,NULL,0,0,0,0,9333000.0000,NULL
1989,2015-03-19 16:42:44.597,Defense,Navy,R&D,NULL,NULL,0,0,0,0,96000.0000,NULL
1989,2015-03-19 16:42:44.597,Defense,Other DoD,PAMS,Cost Plus Award Fee,NULL,0,0,0,0,3077000.0000,NULL
1989,2015-03-19 16:42:44.597,Defense,Other DoD,Products,Firm Fixed Price,NULL,0,0,0,0,2423000.0000,NULL
1989,2015-03-19 16:42:44.597,Defense,Other DoD,R&D,Cost Plus Incentive,NULL,0,0,0,0,2921000.0000,NULL
1990,2015-03-19 16:42:44.597,Defense,Air Force,ERS,Firm Fixed Price,NULL,0,0,0,0,830037000.0000,NULL
1990,2015-03-19 16:42:44.597,Defense,Air Force,ICT,NULL,NULL,0,0,0,0,19949000.0000,NULL
1990,2015-03-19 16:42:44.597,Defense,Air Force,ICT,Time and Materials,NULL,0,0,0,0,34338000.0000,NULL
1990,2015-03-19 16:42:44.597,Defense,Air Force,MED,Firm Fixed Price,NULL,0,0,0,0,27212000.0000,NULL
1990,2015-03-19 16:42:44.597,Defense,Air Force,PAMS,Cost No Fee,NULL,0,0,0,0,21666000.0000,NULL
1990,2015-03-19 16:42:44.597,Defense,Air Force,PAMS,Fixed Price with Economic Price Adjustment,NULL,0,0,0,0,691000.0000,NULL
1990,2015-03-19 16:42:44.597,Defense,Air Force,PAMS,Labor Hours,NULL,0,0,0,0,154872000.0000,NULL
1990,2015-03-19 16:42:44.597,Defense,Air Force,PAMS,Time and Materials,NULL,0,0,0,0,445556000.0000,NULL
1990,2015-03-19 16:42:44.597,Defense,Air Force,Products,Cost Plus Award Fee,NULL,0,0,0,0,57279000.0000,NULL
1990,2015-03-19 16:42:44.597,Defense,Air Force,R&D,Cost No Fee,NULL,0,0,0,0,636845000.0000,NULL
1990,2015-03-19 16:42:44.597,Defense,Air Force,R&D,Fixed Price Incentive,NULL,0,0,0,0,3610957000.0000,NULL
1990,2015-03-19 16:42:44.597,Defense,Air Force,R&D,Fixed Price with Economic Price Adjustment,NULL,0,0,0,0,10497000.0000,NULL
1990,2015-03-19 16:42:44.597,Defense,Air Force,R&D,Labor Hours,NULL,0,0,0,0,18897000.0000,NULL
1990,2015-03-19 16:42:44.597,Defense,Army,ERS,Fixed Price with Economic Price Adjustment,NULL,0,0,0,0,1456000.0000,NULL
1990,2015-03-19 16:42:44.597,Defense,Army,FRS&C,Cost Plus Fixed Fee,NULL,0,0,0,0,34253000.0000,NULL
1990,2015-03-19 16:42:44.597,Defense,Army,Fuel,Firm Fixed Price,NULL,0,0,0,0,2415000.0000,NULL
1990,2015-03-19 16:42:44.597,Defense,Army,ICT,Fixed Price Incentive,NULL,0,0,0,0,275000.0000,NULL
1990,2015-03-19 16:42:44.597,Defense,Army,ICT,Fixed Price with Economic Price Adjustment,NULL,0,0,0,0,836000.0000,NULL
1990,2015-03-19 16:42:44.597,Defense,Army,ICT,Labor Hours,NULL,0,0,0,0,326000.0000,NULL
1990,2015-03-19 16:42:44.597,Defense,Army,ICT,Time and Materials,NULL,0,0,0,0,28937000.0000,NULL
1990,2015-03-19 16:42:44.597,Defense,Army,PAMS,Cost Plus Incentive,NULL,0,0,0,0,60275000.0000,NULL
1990,2015-03-19 16:42:44.597,Defense,Army,Products,Fixed Price Redetermination,NULL,0,0,0,0,3967000.0000,NULL
1990,2015-03-19 16:42:44.597,Defense,Army,R&D,Cost Plus Incentive,NULL,0,0,0,0,492621000.0000,NULL
1990,2015-03-19 16:42:44.597,Defense,DLA,Fuel,Firm Fixed Price,NULL,0,0,0,0,129274000.0000,NULL
1990,2015-03-19 16:42:44.597,Defense,DLA,Fuel,Fixed Price Redetermination,NULL,0,0,0,0,-325000.0000,NULL
1990,2015-03-19 16:42:44.597,Defense,DLA,Products,Fixed Price Redetermination,NULL,0,0,0,0,1111000.0000,NULL
1990,2015-03-19 16:42:44.597,Defense,DLA,R&D,Cost No Fee,NULL,0,0,0,0,7970000.0000,NULL
1990,2015-03-19 16:42:44.597,Defense,Navy,ERS,Cost Plus Incentive,NULL,0,0,0,0,1104142000.0000,NULL
1990,2015-03-19 16:42:44.597,Defense,Navy,FRS&C,Labor Hours,NULL,0,0,0,0,2422000.0000,NULL
1990,2015-03-19 16:42:44.597,Defense,Navy,ICT,Cost Plus Fixed Fee,NULL,0,0,0,0,361388799.0000,1
1990,2015-03-19 16:42:44.597,Defense,Navy,ICT,Firm Fixed Price,NULL,0,0,0,0,424550000.0000,NULL
1990,2015-03-19 16:42:44.597,Defense,Navy,MED,Fixed Price Redetermination,NULL,0,0,0,0,86000.0000,NULL
1990,2015-03-19 16:42:44.597,Defense,Navy,PAMS,Firm Fixed Price,NULL,0,0,0,0,891613034.0000,NULL
1990,2015-03-19 16:42:44.597,Defense,Navy,PAMS,Fixed Price Incentive,NULL,0,0,0,0,13615000.0000,NULL
1990,2015-03-19 16:42:44.597,Defense,Other DoD,ICT,Fixed Price with Economic Price Adjustment,NULL,0,0,0,0,189000.0000,NULL
NULL,2015-03-19 16:42:44.597,Defense,Air Force,NULL,NULL,NULL,0,0,0,0,NULL,NULL
NULL,2015-03-19 16:42:44.597,Defense,Navy,NULL,NULL,NULL,0,0,0,0,NULL,NULL
1988,2015-03-19 16:42:44.597,Defense,Navy,FRS&C,Firm Fixed Price,NULL,0,0,0,0,661000.0000,NULL
1988,2015-03-19 16:42:44.597,Defense,Navy,PAMS,Cost Plus Fixed Fee,NULL,0,0,0,0,283000.0000,NULL
1988,2015-03-19 16:42:44.597,Defense,Navy,R&D,Cost Plus Fixed Fee,NULL,0,0,0,0,311000.0000,NULL
1989,2015-03-19 16:42:44.597,Defense,Army,ICT,Firm Fixed Price,NULL,0,0,0,0,70000.0000,NULL
1989,2015-03-19 16:42:44.597,Defense,Navy,ERS,Fixed Price with Economic Price Adjustment,NULL,0,0,0,0,347157000.0000,NULL
1989,2015-03-19 16:42:44.597,Defense,Navy,ERS,Time and Materials,NULL,0,0,0,0,2221000.0000,NULL
1989,2015-03-19 16:42:44.597,Defense,Navy,FRS&C,Cost Plus Award Fee,NULL,0,0,0,0,-78000.0000,NULL
1989,2015-03-19 16:42:44.597,Defense,Navy,FRS&C,Fixed Price Redetermination,NULL,0,0,0,0,114000.0000,NULL
1989,2015-03-19 16:42:44.597,Defense,Navy,Fuel,Firm Fixed Price,NULL,0,0,0,0,39000.0000,NULL
1989,2015-03-19 16:42:44.597,Defense,Navy,PAMS,Cost Plus Award Fee,NULL,0,0,0,0,14275000.0000,NULL
1989,2015-03-19 16:42:44.597,Defense,Navy,Products,Time and Materials,NULL,0,0,0,0,310000.0000,NULL
1989,2015-03-19 16:42:44.597,Defense,Other DoD,ERS,Firm Fixed Price,NULL,0,0,0,0,801000.0000,NULL
1990,2015-03-19 16:42:44.597,Defense,Air Force,ERS,Fixed Price Incentive,NULL,0,0,0,0,215570000.0000,NULL
1990,2015-03-19 16:42:44.597,Defense,Air Force,FRS&C,NULL,NULL,0,0,0,0,93017000.0000,NULL
1990,2015-03-19 16:42:44.597,Defense,Air Force,FRS&C,Firm Fixed Price,NULL,0,0,0,0,1774677000.0000,NULL
1990,2015-03-19 16:42:44.597,Defense,Air Force,Fuel,Fixed Price with Economic Price Adjustment,NULL,0,0,0,0,29000.0000,NULL
1990,2015-03-19 16:42:44.597,Defense,Air Force,ICT,Cost Plus Award Fee,NULL,0,0,0,0,141974000.0000,NULL
1990,2015-03-19 16:42:44.597,Defense,Air Force,ICT,Cost Plus Incentive,NULL,0,0,0,0,78859000.0000,NULL
1990,2015-03-19 16:42:44.597,Defense,Air Force,PAMS,Fixed Price Redetermination,NULL,0,0,0,0,1681000.0000,NULL
1990,2015-03-19 16:42:44.597,Defense,Air Force,Products,Fixed Price Incentive,NULL,0,0,0,0,3608866000.0000,NULL
1990,2015-03-19 16:42:44.597,Defense,Army,FRS&C,Time and Materials,NULL,0,0,0,0,1207000.0000,NULL
1990,2015-03-19 16:42:44.597,Defense,Army,ICT,Cost Plus Award Fee,NULL,0,0,0,0,64327000.0000,NULL
1990,2015-03-19 16:42:44.597,Defense,Army,ICT,Fixed Price Redetermination,NULL,0,0,0,0,362000.0000,NULL
1990,2015-03-19 16:42:44.597,Defense,Army,PAMS,Firm Fixed Price,NULL,0,0,0,0,677180000.0000,NULL
1990,2015-03-19 16:42:44.597,Defense,Army,Products,Cost No Fee,NULL,0,0,0,0,16480000.0000,NULL
1990,2015-03-19 16:42:44.597,Defense,Army,R&D,Cost Plus Fixed Fee,NULL,0,0,0,0,891366000.0000,NULL
1990,2015-03-19 16:42:44.597,Defense,Army,R&D,Firm Fixed Price,NULL,0,0,0,0,279934000.0000,NULL
1990,2015-03-19 16:42:44.597,Defense,DLA,PAMS,NULL,NULL,0,0,0,0,202000.0000,NULL
1990,2015-03-19 16:42:44.597,Defense,DLA,PAMS,Firm Fixed Price,NULL,0,0,0,0,2324000.0000,NULL
1990,2015-03-19 16:42:44.597,Defense,Navy,ERS,Fixed Price Incentive,NULL,0,0,0,0,140087000.0000,NULL
1990,2015-03-19 16:42:44.597,Defense,Navy,FRS&C,Cost Plus Fixed Fee,NULL,0,0,0,0,37753000.0000,NULL
1990,2015-03-19 16:42:44.597,Defense,Navy,FRS&C,Firm Fixed Price,NULL,0,0,0,0,2269305778.0000,NULL
1990,2015-03-19 16:42:44.597,Defense,Navy,ICT,Cost No Fee,NULL,0,0,0,0,2297000.0000,NULL
1990,2015-03-19 16:42:44.597,Defense,Navy,ICT,Cost Plus Incentive,NULL,0,0,0,0,2055000.0000,NULL
1990,2015-03-19 16:42:44.597,Defense,Navy,MED,Fixed Price with Economic Price Adjustment,NULL,0,0,0,0,68000.0000,NULL
1990,2015-03-19 16:42:44.597,Defense,Navy,MED,Time and Materials,NULL,0,0,0,0,309000.0000,NULL
1990,2015-03-19 16:42:44.597,Defense,Navy,PAMS,Cost Sharing,NULL,0,0,0,0,783000.0000,NULL
1990,2015-03-19 16:42:44.597,Defense,Navy,R&D,Cost Sharing,NULL,0,0,0,0,22156000.0000,NULL
1990,2015-03-19 16:42:44.597,Defense,Other DoD,ERS,Cost Plus Award Fee,NULL,0,0,0,0,944000.0000,NULL
1990,2015-03-19 16:42:44.597,Defense,Other DoD,FRS&C,Time and Materials,NULL,0,0,0,0,1254000.0000,NULL
1990,2015-03-19 16:42:44.597,Defense,Other DoD,ICT,Firm Fixed Price,NULL,0,0,0,0,126612000.0000,NULL
1990,2015-03-19 16:42:44.597,Defense,Other DoD,ICT,Fixed Price Redetermination,NULL,0,0,0,0,361000.0000,NULL
NULL,2015-03-19 16:42:44.597,Defense,NULL,NULL,NULL,NULL,0,0,0,0,NULL,NULL
1988,2015-03-19 16:42:44.597,Defense,Other DoD,R&D,Cost Plus Fixed Fee,NULL,0,0,0,0,200000.0000,NULL
1989,2015-03-19 16:42:44.597,Defense,Army,FRS&C,Firm Fixed Price,NULL,0,0,0,0,47930000.0000,NULL
1989,2015-03-19 16:42:44.597,Defense,Army,PAMS,Cost Plus Fixed Fee,NULL,0,0,0,0,456000.0000,NULL
1989,2015-03-19 16:42:44.597,Defense,Navy,FRS&C,NULL,NULL,0,0,0,0,4084000.0000,NULL
1989,2015-03-19 16:42:44.597,Defense,Navy,ICT,Labor Hours,NULL,0,0,0,0,41000.0000,NULL
1989,2015-03-19 16:42:44.597,Defense,Navy,Products,Firm Fixed Price,NULL,0,0,0,0,155865946.0000,NULL
1989,2015-03-19 16:42:44.597,Defense,Navy,Products,Fixed Price Incentive,NULL,0,0,0,0,31843000.0000,NULL
1989,2015-03-19 16:42:44.597,Defense,Navy,Products,Fixed Price Redetermination,NULL,0,0,0,0,58000.0000,NULL
1989,2015-03-19 16:42:44.597,Defense,Navy,R&D,Cost Plus Fixed Fee,NULL,0,0,0,0,9721000.0000,NULL
1989,2015-03-19 16:42:44.597,Defense,Other DoD,FRS&C,Firm Fixed Price,NULL,0,0,0,0,3110000.0000,NULL
1989,2015-03-19 16:42:44.597,Defense,Other DoD,ICT,Time and Materials,NULL,0,0,0,0,35000.0000,NULL
1990,2015-03-19 16:42:44.597,Defense,Air Force,ERS,NULL,NULL,0,0,0,0,323778000.0000,NULL
1990,2015-03-19 16:42:44.597,Defense,Air Force,ERS,Time and Materials,NULL,0,0,0,0,145606000.0000,NULL
1990,2015-03-19 16:42:44.597,Defense,Air Force,FRS&C,Fixed Price Redetermination,NULL,0,0,0,0,13106000.0000,NULL
1990,2015-03-19 16:42:44.597,Defense,Air Force,Fuel,NULL,NULL,0,0,0,0,94206000.0000,NULL
1990,2015-03-19 16:42:44.597,Defense,Air Force,ICT,Cost Plus Fixed Fee,NULL,0,0,0,0,26743000.0000,NULL
1990,2015-03-19 16:42:44.597,Defense,Air Force,MED,Fixed Price with Economic Price Adjustment,NULL,0,0,0,0,403000.0000,NULL
1990,2015-03-19 16:42:44.597,Defense,Air Force,PAMS,Firm Fixed Price,NULL,0,0,0,0,1080889000.0000,NULL
1990,2015-03-19 16:42:44.597,Defense,Army,FRS&C,NULL,NULL,0,0,0,0,130201000.0000,NULL
1990,2015-03-19 16:42:44.597,Defense,Army,FRS&C,Cost No Fee,NULL,0,0,0,0,24407000.0000,NULL
1990,2015-03-19 16:42:44.597,Defense,Army,FRS&C,Cost Plus Award Fee,NULL,0,0,0,0,282457000.0000,NULL
1990,2015-03-19 16:42:44.597,Defense,Army,FRS&C,Fixed Price with Economic Price Adjustment,NULL,0,0,0,0,24018000.0000,NULL
1990,2015-03-19 16:42:44.597,Defense,Army,Fuel,Fixed Price with Economic Price Adjustment,NULL,0,0,0,0,8408000.0000,NULL
1990,2015-03-19 16:42:44.597,Defense,Army,PAMS,Fixed Price Redetermination,NULL,0,0,0,0,12168000.0000,NULL
1990,2015-03-19 16:42:44.597,Defense,Army,Products,Fixed Price Incentive,NULL,0,0,0,0,82580000.0000,NULL
1990,2015-03-19 16:42:44.597,Defense,DLA,FRS&C,NULL,NULL,0,0,0,0,363000.0000,NULL
1990,2015-03-19 16:42:44.597,Defense,DLA,FRS&C,Fixed Price with Economic Price Adjustment,NULL,0,0,0,0,7194000.0000,NULL
1990,2015-03-19 16:42:44.597,Defense,DLA,Fuel,Fixed Price with Economic Price Adjustment,NULL,0,0,0,0,974575000.0000,NULL
1990,2015-03-19 16:42:44.597,Defense,DLA,R&D,Cost Plus Fixed Fee,NULL,0,0,0,0,1729000.0000,NULL
1990,2015-03-19 16:42:44.597,Defense,Navy,ERS,Firm Fixed Price,NULL,0,0,0,0,3375007114.0000,NULL
1990,2015-03-19 16:42:44.597,Defense,Navy,ICT,NULL,NULL,0,0,0,0,21941000.0000,NULL
1990,2015-03-19 16:42:44.597,Defense,Navy,ICT,Time and Materials,NULL,0,0,0,0,125299000.0000,NULL
1990,2015-03-19 16:42:44.597,Defense,Navy,PAMS,Cost No Fee,NULL,0,0,0,0,42376000.0000,NULL
1990,2015-03-19 16:42:44.597,Defense,Navy,PAMS,Fixed Price with Economic Price Adjustment,NULL,0,0,0,0,1431000.0000,NULL
1990,2015-03-19 16:42:44.597,Defense,Navy,PAMS,Labor Hours,NULL,0,0,0,0,80636000.0000,NULL
1990,2015-03-19 16:42:44.597,Defense,Navy,Products,Cost No Fee,NULL,0,0,0,0,447000.0000,NULL
1990,2015-03-19 16:42:44.597,Defense,Navy,Products,Cost Plus Award Fee,NULL,0,0,0,0,72321000.0000,NULL
1990,2015-03-19 16:42:44.597,Defense,Navy,Products,Fixed Price with Economic Price Adjustment,NULL,0,0,0,0,282366000.0000,NULL
1990,2015-03-19 16:42:44.597,Defense,Navy,Products,Labor Hours,NULL,0,0,0,0,4467000.0000,NULL
1990,2015-03-19 16:42:44.597,Defense,Navy,R&D,Fixed Price Redetermination,NULL,0,0,0,0,900000.0000,NULL
1990,2015-03-19 16:42:44.597,Defense,Other DoD,NULL,NULL,NULL,0,0,0,0,NULL,NULL
1990,2015-03-19 16:42:44.597,Defense,Other DoD,ERS,Fixed Price with Economic Price Adjustment,NULL,0,0,0,0,332000.0000,NULL
1988,2015-03-19 16:42:44.597,Defense,Navy,Products,Firm Fixed Price,NULL,0,0,0,0,1886670.0000,NULL
1988,2015-03-19 16:42:44.597,Defense,Navy,Products,Fixed Price Incentive,NULL,0,0,0,0,152000.0000,NULL
1988,2015-03-19 16:42:44.597,Defense,Navy,R&D,Cost No Fee,NULL,0,0,0,0,148000.0000,NULL
1988,2015-03-19 16:42:44.597,Defense,Other DoD,R&D,Time and Materials,NULL,0,0,0,0,58000.0000,NULL
1989,2015-03-19 16:42:44.597,Defense,Army,FRS&C,NULL,NULL,0,0,0,0,177000.0000,NULL
1989,2015-03-19 16:42:44.597,Defense,Army,MED,Firm Fixed Price,NULL,0,0,0,0,51000.0000,NULL
1989,2015-03-19 16:42:44.597,Defense,Navy,PAMS,Cost Plus Fixed Fee,NULL,0,0,0,0,19890000.0000,NULL
1989,2015-03-19 16:42:44.597,Defense,Navy,Products,Cost Plus Award Fee,NULL,0,0,0,0,13723000.0000,NULL
1989,2015-03-19 16:42:44.597,Defense,Navy,Products,Cost Plus Fixed Fee,NULL,0,0,0,0,4689000.0000,NULL
1989,2015-03-19 16:42:44.597,Defense,Navy,R&D,Time and Materials,NULL,0,0,0,0,159000.0000,NULL
1989,2015-03-19 16:42:44.597,Defense,Other DoD,PAMS,Firm Fixed Price,NULL,0,0,0,0,32000.0000,NULL
1989,2015-03-19 16:42:44.597,Defense,Other DoD,R&D,Cost Plus Fixed Fee,NULL,0,0,0,0,52000000.0000,NULL
1989,2015-03-19 16:42:44.597,Defense,Other DoD,R&D,Labor Hours,NULL,0,0,0,0,8000.0000,NULL
1990,2015-03-19 16:42:44.597,Defense,Air Force,ERS,Cost No Fee,NULL,0,0,0,0,7181000.0000,NULL
1990,2015-03-19 16:42:44.597,Defense,Air Force,ERS,Labor Hours,NULL,0,0,0,0,4531000.0000,NULL
1990,2015-03-19 16:42:44.597,Defense,Air Force,FRS&C,Cost Plus Fixed Fee,NULL,0,0,0,0,122791000.0000,NULL
1990,2015-03-19 16:42:44.597,Defense,Air Force,FRS&C,Labor Hours,NULL,0,0,0,0,2890000.0000,NULL
1990,2015-03-19 16:42:44.597,Defense,Air Force,ICT,Firm Fixed Price,NULL,0,0,0,0,534945000.0000,NULL
1990,2015-03-19 16:42:44.597,Defense,Air Force,MED,Fixed Price Incentive,NULL,0,0,0,0,893000.0000,NULL
1990,2015-03-19 16:42:44.597,Defense,Air Force,Products,NULL,NULL,0,0,0,0,7200989000.0000,NULL
1990,2015-03-19 16:42:44.597,Defense,Air Force,Products,Fixed Price with Economic Price Adjustment,NULL,0,0,0,0,228418000.0000,NULL
1990,2015-03-19 16:42:44.597,Defense,Air Force,R&D,Cost Sharing,NULL,0,0,0,0,113849000.0000,NULL
1990,2015-03-19 16:42:44.597,Defense,Air Force,R&D,Fixed Price Redetermination,NULL,0,0,0,0,370748000.0000,NULL
1990,2015-03-19 16:42:44.597,Defense,Army,ERS,Firm Fixed Price,NULL,0,0,0,0,295479000.0000,NULL
1990,2015-03-19 16:42:44.597,Defense,Army,Fuel,NULL,NULL,0,0,0,0,3029000.0000,NULL
1990,2015-03-19 16:42:44.597,Defense,Army,MED,Cost No Fee,NULL,0,0,0,0,8603000.0000,NULL
1990,2015-03-19 16:42:44.597,Defense,Army,PAMS,Cost No Fee,NULL,0,0,0,0,10867000.0000,NULL
1990,2015-03-19 16:42:44.597,Defense,Army,PAMS,Cost Plus Award Fee,NULL,0,0,0,0,223999000.0000,NULL
1990,2015-03-19 16:42:44.597,Defense,Army,PAMS,Cost Plus Fixed Fee,NULL,0,0,0,0,320772000.0000,NULL
1990,2015-03-19 16:42:44.597,Defense,Army,PAMS,Labor Hours,NULL,0,0,0,0,2170000.0000,NULL
1990,2015-03-19 16:42:44.597,Defense,Army,Products,Cost Sharing,NULL,0,0,0,0,2113000.0000,NULL
1990,2015-03-19 16:42:44.597,Defense,Army,Products,Labor Hours,NULL,0,0,0,0,2281000.0000,NULL
1990,2015-03-19 16:42:44.597,Defense,Army,R&D,NULL,NULL,0,0,0,0,78108000.0000,NULL
1990,2015-03-19 16:42:44.597,Defense,DLA,ERS,Firm Fixed Price,NULL,0,0,0,0,105717000.0000,NULL
1990,2015-03-19 16:42:44.597,Defense,DLA,ICT,Time and Materials,NULL,0,0,0,0,9010000.0000,NULL
1990,2015-03-19 16:42:44.597,Defense,DLA,PAMS,Cost No Fee,NULL,0,0,0,0,1484000.0000,NULL
1990,2015-03-19 16:42:44.597,Defense,DLA,PAMS,Cost Plus Fixed Fee,NULL,0,0,0,0,24039000.0000,NULL
1990,2015-03-19 16:42:44.597,Defense,DLA,PAMS,Labor Hours,NULL,0,0,0,0,1936000.0000,NULL
1990,2015-03-19 16:42:44.597,Defense,Navy,ERS,NULL,NULL,0,0,0,0,45942000.0000,NULL
1990,2015-03-19 16:42:44.597,Defense,Navy,FRS&C,NULL,NULL,0,0,0,0,47086000.0000,NULL
1990,2015-03-19 16:42:44.597,Defense,Navy,FRS&C,Cost No Fee,NULL,0,0,0,0,32118000.0000,NULL
1990,2015-03-19 16:42:44.597,Defense,Navy,Fuel,Fixed Price with Economic Price Adjustment,NULL,0,0,0,0,28000.0000,NULL
1990,2015-03-19 16:42:44.597,Defense,Navy,ICT,Cost Plus Award Fee,NULL,0,0,0,0,48029000.0000,NULL
